,AAPL,MSFT,GOOG,META
2000-12-22,318052000.0,109551800.0,,
2000-12-25,318052000.0,109551800.0,,
2000-12-26,216815200.0,66941600.0,,
2000-12-27,325466400.0,69003800.0,,
2000-12-28,305177600.0,77619200.0,,
2000-12-29,630336000.0,99977600.0,,
2001-01-01,630336000.0,99977600.0,,
2001-01-02,452312000.0,82413200.0,,
2001-01-03,817073600.0,135962200.0,,
2001-01-04,739396000.0,112397000.0,,
2001-01-05,412356000.0,93414600.0,,
2001-01-08,373699200.0,79817600.0,,
2001-01-09,588929600.0,114965400.0,,
2001-01-10,580781600.0,90230200.0,,
2001-01-11,803734400.0,101854800.0,,
2001-01-12,423376800.0,73712000.0,,
2001-01-15,423376800.0,73712000.0,,
2001-01-16,306118400.0,68462400.0,,
2001-01-17,840873600.0,72844200.0,,
2001-01-18,1227010400.0,109788800.0,,
2001-01-19,776664000.0,209348800.0,,
2001-01-22,519327200.0,76673000.0,,
2001-01-23,879530400.0,70295200.0,,
2001-01-24,717091200.0,110455000.0,,
2001-01-25,489708800.0,85657400.0,,
2001-01-26,482820800.0,93080000.0,,
2001-01-29,855528800.0,84983800.0,,
2001-01-30,692423200.0,57276800.0,,
2001-01-31,730704800.0,81898800.0,,
2001-02-01,369695200.0,71792800.0,,
2001-02-02,427341600.0,71100000.0,,
2001-02-05,286115200.0,51399200.0,,
2001-02-06,462711200.0,96442000.0,,
2001-02-07,393887200.0,126061800.0,,
2001-02-08,604128000.0,88041200.0,,
2001-02-09,590083200.0,100575200.0,,
2001-02-12,274120000.0,71289400.0,,
2001-02-13,237070400.0,76070600.0,,
2001-02-14,309120000.0,61728400.0,,
2001-02-15,311416000.0,65627800.0,,
2001-02-16,263911200.0,66958400.0,,
2001-02-19,263911200.0,66958400.0,,
2001-02-20,314893600.0,60730800.0,,
2001-02-21,390258400.0,63947200.0,,
2001-02-22,431961600.0,100816400.0,,
2001-02-23,293865600.0,92620600.0,,
2001-02-26,206438400.0,87936800.0,,
2001-02-27,348516000.0,99148600.0,,
2001-02-28,508233600.0,84608400.0,,
2001-03-01,330461600.0,81781600.0,,
2001-03-02,406201600.0,79800800.0,,
